artifact_id	step_id	scope_type	scope_id	adapter	source_path	required
ref.star_index.genome_parameters	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/genomeParameters.txt	true
ref.star_index.genome	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/Genome	true
ref.star_index.sa	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/SA	true
ref.star_index.saindex	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/SAindex	true
ref.star_index.chr_length	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/chrLength.txt	true
ref.star_index.chr_name	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/chrName.txt	true
ref.star_index.chr_name_length	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/chrNameLength.txt	true
ref.star_index.chr_start	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/chrStart.txt	true
ref.star_index.exon_getr_info	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/exonGeTrInfo.tab	true
ref.star_index.exon_info	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/exonInfo.tab	true
ref.star_index.gene_info	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/geneInfo.tab	true
ref.star_index.sjdb_info	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/sjdbInfo.txt	true
ref.star_index.sjdb_from_gtf	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/sjdbList.fromGTF.out.tab	true
ref.star_index.sjdb_list	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/sjdbList.out.tab	true
ref.star_index.transcript_info	00a	reference	novogene_ref	step00a_star_index_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_star_index/transcriptInfo.tab	true
ref.star_index.validation	00a	reference	novogene_ref	step00a_validation_report_v1	tests/fixtures/artifact_schema_v1/source/results/qc/validation/00a/novogene_ref.validation.tsv	true
ref.bed12	00b	reference	novogene_ref	step00b_bed12_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_ref/genome.bed	true
ref.bed12.validation	00b	reference	novogene_ref	step00b_validation_report_v1	tests/fixtures/artifact_schema_v1/source/results/qc/validation/00b/novogene_ref.validation.tsv	true
ref.fasta	00c	reference	novogene_ref	step00c_reference_fasta_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_ref/genome.fa	true
ref.fai	00c	reference	novogene_ref	step00c_reference_fai_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_ref/genome.fa.fai	true
ref.dict	00c	reference	novogene_ref	step00c_reference_dict_v1	tests/fixtures/artifact_schema_v1/source/refs/novogene_ref/genome.dict	true
ref.sidecars.validation	00c	reference	novogene_ref	step00c_validation_report_v1	tests/fixtures/artifact_schema_v1/source/results/qc/validation/00c/novogene_ref.validation.tsv	true
sample.SYNTH_A.star_bam	01	sample	SYNTH_A	step01_star_bam_v1	tests/fixtures/artifact_schema_v1/source/results/star/SYNTH_A/SYNTH_A.Aligned.sortedByCoord.out.bam	true
sample.SYNTH_A.star_log_final	01	sample	SYNTH_A	step01_star_log_final_v1	tests/fixtures/artifact_schema_v1/source/results/star/SYNTH_A/SYNTH_A.Log.final.out	true
sample.SYNTH_A.star_log	01	sample	SYNTH_A	step01_star_log_v1	tests/fixtures/artifact_schema_v1/source/results/star/SYNTH_A/SYNTH_A.Log.out	true
sample.SYNTH_A.star_log_progress	01	sample	SYNTH_A	step01_star_log_progress_v1	tests/fixtures/artifact_schema_v1/source/results/star/SYNTH_A/SYNTH_A.Log.progress.out	true
sample.SYNTH_A.star_sj	01	sample	SYNTH_A	step01_star_sj_v1	tests/fixtures/artifact_schema_v1/source/results/star/SYNTH_A/SYNTH_A.SJ.out.tab	true
sample.SYNTH_A.star_validation	01	sample	SYNTH_A	step01_validation_report_v1	tests/fixtures/artifact_schema_v1/source/results/qc/validation/01/SYNTH_A.validation.tsv	true
sample.SYNTH_A.canonical_bam	02	sample	SYNTH_A	step02_canonical_bam_v1	tests/fixtures/artifact_schema_v1/source/results/bam/SYNTH_A/SYNTH_A.sorted.bam	true
sample.SYNTH_A.canonical_bai	02	sample	SYNTH_A	step02_canonical_bai_v1	tests/fixtures/artifact_schema_v1/source/results/bam/SYNTH_A/SYNTH_A.sorted.bam.bai	true
sample.SYNTH_A.canonical_validation	02	sample	SYNTH_A	step02_validation_report_v1	tests/fixtures/artifact_schema_v1/source/results/qc/validation/02/SYNTH_A.validation.tsv	true
sample.SYNTH_A.quickcheck	02b	sample	SYNTH_A	step02b_quickcheck_v1	tests/fixtures/artifact_schema_v1/source/results/qc/bam/SYNTH_A.quickcheck.txt	true
sample.SYNTH_A.flagstat	02b	sample	SYNTH_A	step02b_flagstat_v1	tests/fixtures/artifact_schema_v1/source/results/qc/bam/SYNTH_A.flagstat.txt	true
sample.SYNTH_A.bam_qc_validation	02b	sample	SYNTH_A	step02b_validation_report_v1	tests/fixtures/artifact_schema_v1/source/results/qc/validation/02b/SYNTH_A.validation.tsv	true
sample.SYNTH_A.strand	03	sample	SYNTH_A	step03_rseqc_infer_v1	tests/fixtures/artifact_schema_v1/source/results/qc/strandedness/SYNTH_A.infer_experiment.txt	true
sample.SYNTH_A.strand_validation	03	sample	SYNTH_A	step03_validation_report_v1	tests/fixtures/artifact_schema_v1/source/results/qc/validation/03/SYNTH_A.validation.tsv	true
sample.SYNTH_A.markdup_bam	04	sample	SYNTH_A	step04_markdup_bam_v1	tests/fixtures/artifact_schema_v1/source/results/markdup/SYNTH_A/SYNTH_A.markdup.bam	true
sample.SYNTH_A.markdup_bai	04	sample	SYNTH_A	step04_markdup_bai_v1	tests/fixtures/artifact_schema_v1/source/results/markdup/SYNTH_A/SYNTH_A.markdup.bam.bai	true
sample.SYNTH_A.markdup_metrics	04	sample	SYNTH_A	step04_markdup_metrics_v1	tests/fixtures/artifact_schema_v1/source/results/qc/markdup/SYNTH_A.markdup.metrics.txt	true
sample.SYNTH_A.split_bam	05	sample	SYNTH_A	step05_split_bam_v1	tests/fixtures/artifact_schema_v1/source/results/split_ncigar/SYNTH_A/SYNTH_A.split_ncigar.bam	true
sample.SYNTH_A.split_bai	05	sample	SYNTH_A	step05_split_bai_v1	tests/fixtures/artifact_schema_v1/source/results/split_ncigar/SYNTH_A/SYNTH_A.split_ncigar.bam.bai	true
sample.SYNTH_A.fwd_bam	06	sample	SYNTH_A	step06_fwd_bam_v1	tests/fixtures/artifact_schema_v1/source/results/orientation/SYNTH_A/SYNTH_A.FWD_like.bam	true
sample.SYNTH_A.fwd_bai	06	sample	SYNTH_A	step06_fwd_bai_v1	tests/fixtures/artifact_schema_v1/source/results/orientation/SYNTH_A/SYNTH_A.FWD_like.bam.bai	true
sample.SYNTH_A.rev_bam	06	sample	SYNTH_A	step06_rev_bam_v1	tests/fixtures/artifact_schema_v1/source/results/orientation/SYNTH_A/SYNTH_A.REV_like.bam	true
sample.SYNTH_A.rev_bai	06	sample	SYNTH_A	step06_rev_bai_v1	tests/fixtures/artifact_schema_v1/source/results/orientation/SYNTH_A/SYNTH_A.REV_like.bam.bai	true
sample.SYNTH_A.orientation_counts	06	sample	SYNTH_A	step06_orientation_counts_v1	tests/fixtures/artifact_schema_v1/source/results/qc/orientation/SYNTH_A.orientation_counts.tsv	true
cohort.synthetic.p1.fwd_vcf	07	cohort_partition	synthetic_cohort__p1	step07_mpileup_vcf_v1	tests/fixtures/artifact_schema_v1/source/results/mpileup/synthetic_cohort/p1/synthetic_cohort.p1.FWD_like.mpileup.vcf	true
cohort.synthetic.p1.rev_vcf	07	cohort_partition	synthetic_cohort__p1	step07_mpileup_vcf_v1	tests/fixtures/artifact_schema_v1/source/results/mpileup/synthetic_cohort/p1/synthetic_cohort.p1.REV_like.mpileup.vcf	true
cohort.synthetic.p1.receipt	07	cohort_partition	synthetic_cohort__p1	step07_mpileup_receipt_v1	tests/fixtures/artifact_schema_v1/source/results/mpileup/synthetic_cohort/p1/synthetic_cohort.p1.step07_outputs.tsv	true
cohort.synthetic.p2.fwd_vcf	07	cohort_partition	synthetic_cohort__p2	step07_mpileup_vcf_v1	tests/fixtures/artifact_schema_v1/source/results/mpileup/synthetic_cohort/p2/synthetic_cohort.p2.FWD_like.mpileup.vcf	true
cohort.synthetic.p2.rev_vcf	07	cohort_partition	synthetic_cohort__p2	step07_mpileup_vcf_v1	tests/fixtures/artifact_schema_v1/source/results/mpileup/synthetic_cohort/p2/synthetic_cohort.p2.REV_like.mpileup.vcf	true
cohort.synthetic.p2.receipt	07	cohort_partition	synthetic_cohort__p2	step07_mpileup_receipt_v1	tests/fixtures/artifact_schema_v1/source/results/mpileup/synthetic_cohort/p2/synthetic_cohort.p2.step07_outputs.tsv	true
cohort.synthetic.step08_sites	08	cohort	synthetic_cohort	step08_sites_v1	tests/fixtures/artifact_schema_v1/source/results/vcf_preprocessed/synthetic_cohort/synthetic_cohort.step08_sites.tsv	true
cohort.synthetic.step08_inputs	08	cohort	synthetic_cohort	step08_inputs_v1	tests/fixtures/artifact_schema_v1/source/results/vcf_preprocessed/synthetic_cohort/synthetic_cohort.step08_inputs.tsv	true
cohort.synthetic.step08_summary	08	cohort	synthetic_cohort	step08_summary_v1	tests/fixtures/artifact_schema_v1/source/results/qc/vcf_preprocessing/synthetic_cohort.step08_summary.tsv	true
analysis.synthetic.cmh_all_sites	09	analysis	synthetic_analysis	step09_cmh_all_sites_v1	tests/fixtures/artifact_schema_v1/source/results/editing/synthetic_analysis/synthetic_analysis.cmh_all_sites.tsv	true
analysis.synthetic.cmh_significant_sites	09	analysis	synthetic_analysis	step09_cmh_significant_sites_v1	tests/fixtures/artifact_schema_v1/source/results/editing/synthetic_analysis/synthetic_analysis.cmh_significant_sites.tsv	true
analysis.synthetic.cmh_summary	09	analysis	synthetic_analysis	step09_cmh_summary_v1	tests/fixtures/artifact_schema_v1/source/results/editing/synthetic_analysis/synthetic_analysis.cmh_summary.tsv	true
analysis.synthetic.mutation_spectrum_tsv	09	analysis	synthetic_analysis	step09_mutation_spectrum_tsv_v1	tests/fixtures/artifact_schema_v1/source/results/editing/synthetic_analysis/synthetic_analysis.mutation_spectrum.tsv	true
analysis.synthetic.mutation_spectrum_pdf	09	analysis	synthetic_analysis	step09_mutation_spectrum_pdf_v1	tests/fixtures/artifact_schema_v1/source/results/editing/synthetic_analysis/synthetic_analysis.mutation_spectrum.pdf	true
