evidence_id	evidence_category	analysis_id	source_path	source_sha256	source_row_count	evidence_status	not_applicable_reason	reviewer	owner	evidence_date	policy_version
example_orientation_missing	orientation_locus_audit	example_primary_analysis	NA	NA	NA	missing	NA	synthetic_reviewer	synthetic_owner	NA	example_orientation_v1
example_annotation_missing	annotation_audit	example_primary_analysis	NA	NA	NA	missing	NA	synthetic_reviewer	synthetic_owner	NA	example_annotation_v1
example_qc_funnel_missing	qc_funnel	example_primary_analysis	NA	NA	NA	missing	NA	synthetic_reviewer	synthetic_owner	NA	example_qc_funnel_v1
example_replicate_effects_missing	replicate_effects	example_primary_analysis	NA	NA	NA	missing	NA	synthetic_reviewer	synthetic_owner	NA	example_replicate_effects_v1
example_sensitivity_missing	sensitivity_matrix	example_primary_analysis	NA	NA	NA	missing	NA	synthetic_reviewer	synthetic_owner	NA	example_sensitivity_v1
example_leave_one_pair_out_missing	leave_one_pair_out	example_primary_analysis	NA	NA	NA	missing	NA	synthetic_reviewer	synthetic_owner	NA	example_leave_one_pair_out_v1
example_candidate_selection_missing	candidate_selection	example_primary_analysis	NA	NA	NA	missing	NA	synthetic_reviewer	synthetic_owner	NA	example_candidate_selection_v1
example_candidate_adjudication_missing	candidate_adjudication	example_primary_analysis	NA	NA	NA	missing	NA	synthetic_reviewer	synthetic_owner	NA	example_candidate_adjudication_v1
example_decisions_missing	decisions	example_primary_analysis	NA	NA	NA	missing	NA	synthetic_reviewer	synthetic_owner	NA	example_decisions_v1
example_limitations_missing	limitations	example_primary_analysis	NA	NA	NA	missing	NA	synthetic_reviewer	synthetic_owner	NA	example_limitations_v1
